phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
confirmation,9,4,0.059243706254223594,0.255,null_statistics/batch-9-replication-4.npy,batch-null-confirmation,5011521305476772366,2319074976890050628,809588457228694303,0.2852353999915067,,,batch-null-confirmation-20260821-001
confirmation,9,5,0.04478243880763359,0.845,null_statistics/batch-9-replication-5.npy,batch-null-confirmation,13502389280052185326,15366259549733902394,7533735454665888650,0.2949847999989288,,,batch-null-confirmation-20260821-001
confirmation,9,6,0.040764884819430865,0.96,null_statistics/batch-9-replication-6.npy,batch-null-confirmation,16834221698542476483,6270161885169228745,15077391187403839987,0.27852550000534393,,,batch-null-confirmation-20260821-001
confirmation,9,7,0.045793668907890064,0.745,null_statistics/batch-9-replication-7.npy,batch-null-confirmation,1696031329986258842,4093587199851709460,9466389947386741176,0.2858285000111209,,,batch-null-confirmation-20260821-001
confirmation,9,8,0.07222378533967766,0.12,null_statistics/batch-9-replication-8.npy,batch-null-confirmation,8562010178993536274,10322023914962973711,11034281543719646006,0.33064919999742415,,,batch-null-confirmation-20260821-001
confirmation,9,9,0.05585112451773799,0.33,null_statistics/batch-9-replication-9.npy,batch-null-confirmation,3140668105346307874,15231165587016715781,15186799978299856012,0.3473599999997532,,,batch-null-confirmation-20260821-001
confirmation,10,0,0.04361599034629077,0.855,null_statistics/batch-10-replication-0.npy,batch-null-confirmation,7863828593964469487,6743794377136304989,15482177135639801757,0.30043899999873247,,,batch-null-confirmation-20260821-001
confirmation,10,1,0.055297359559536366,0.415,null_statistics/batch-10-replication-1.npy,batch-null-confirmation,12285042654001543484,13807458147724167555,15926903356709645069,0.2932759000104852,,,batch-null-confirmation-20260821-001
confirmation,10,2,0.054596394980678156,0.44,null_statistics/batch-10-replication-2.npy,batch-null-confirmation,12792610067116383972,2104579694881013132,16889971075424109759,0.30159470000944566,,,batch-null-confirmation-20260821-001
confirmation,10,3,0.07219416249893089,0.06,null_statistics/batch-10-replication-3.npy,batch-null-confirmation,8119537204308972274,8499160926707925887,605663018476890416,0.2964129000029061,,,batch-null-confirmation-20260821-001
confirmation,10,4,0.055181324582155904,0.365,null_statistics/batch-10-replication-4.npy,batch-null-confirmation,6822669240492810883,5911122056713371239,1221701202794248877,0.29399189999094233,,,batch-null-confirmation-20260821-001
confirmation,10,5,0.05254142846006448,0.515,null_statistics/batch-10-replication-5.npy,batch-null-confirmation,13096101568537974474,1992947886991748737,11057015102604507102,0.28504800000519026,,,batch-null-confirmation-20260821-001
confirmation,10,6,0.046705788672574834,0.68,null_statistics/batch-10-replication-6.npy,batch-null-confirmation,12288417330494397676,13545846011977351025,583809193598884170,0.28533069998957217,,,batch-null-confirmation-20260821-001
confirmation,10,7,0.04511445263514409,0.835,null_statistics/batch-10-replication-7.npy,batch-null-confirmation,11368399583063807098,8945884858911273216,1014357785161587705,0.2875213000079384,,,batch-null-confirmation-20260821-001
confirmation,10,8,0.05940064752758396,0.28,null_statistics/batch-10-replication-8.npy,batch-null-confirmation,10707269841242629091,8570444176701765951,3195106054359741426,0.2881265999894822,,,batch-null-confirmation-20260821-001
confirmation,10,9,0.05216538708344034,0.565,null_statistics/batch-10-replication-9.npy,batch-null-confirmation,18075717008871085611,1425559639539434593,7093423553809051253,0.27465039999515284,,,batch-null-confirmation-20260821-001
confirmation,11,0,0.0669249183234202,0.14,null_statistics/batch-11-replication-0.npy,batch-null-confirmation,6376580332508279183,12018924289085839998,11361648485649580490,0.2731738000002224,,,batch-null-confirmation-20260821-001
confirmation,11,1,0.05854937993239893,0.3,null_statistics/batch-11-replication-1.npy,batch-null-confirmation,4334990247292177875,18055255042144960911,18380522363390817102,0.29022539999277797,,,batch-null-confirmation-20260821-001
